Grados,V,st dev
0,2.045887,0.006952
10,2.044596,0.006684
20,2.047823,0.006496
30,2.048469,0.006424
40,2.057505,0.006661
50,2.072995,0.006688
60,2.079449,0.007052
70,2.085258,0.007064
80,2.09623,0.006446
90,2.10462,0.006516
100,2.116883,0.006755
110,2.131727,0.006509
120,2.140763,0.006489
130,2.153026,0.006782
140,2.167871,0.006852
150,2.176261,0.006451
160,2.183361,0.006423
170,2.194333,0.006906
180,2.196914,0.006607
190,2.20595,0.006366
200,2.204014,0.006697
210,2.208532,0.006715
220,2.214986,0.006365
230,2.212404,0.007015
240,2.189169,0.006581
250,2.177552,0.006828
260,2.160771,0.006607
270,2.143345,0.006791
280,2.133664,0.006588
290,2.118819,0.006696
300,2.100747,0.006704
310,2.090421,0.006545
320,2.08074,0.006391
330,2.067831,0.007158
340,2.058796,0.006749
350,2.048469,0.006591
