Distancia,V,sd dev
65,2.189169,0.00649
64,2.189815,0.006273
63,2.199496,0.006641
62,2.205305,0.006471
61,2.213695,0.006871
60,2.225312,0.006766
59,2.230476,0.00691
58,2.239512,0.006758
57,2.245966,0.006947
56,2.250484,0.00667
55,2.253065,0.006632
54,2.255002,0.006501
53,2.260165,0.007509
52,2.255647,0.006361
51,2.249838,0.003415
50,2.255647,0.006455
49,2.256938,0.00656
48,2.258229,0.006309
47,2.254356,0.006266
46,2.260488,0.007828
45,2.258874,0.006186
44,2.255002,0.006117
43,2.260165,0.006645
42,2.265328,0.006427
41,2.274364,0.0066
40,2.284045,0.006469
39,2.298244,0.006921
38.5,2.311798,0.006489
38,2.322125,0.006781
37.5,2.33826,0.006666
37,2.361495,0.006775
36.5,2.375049,0.006817
36,2.407965,0.006406
35.5,2.429263,0.006617
35,2.46347,0.006371
34.5,2.489287,0.006425
34,2.529303,0.006696
33.5,2.575773,0.006412
33,2.643541,0.006973
32.5,2.710664,0.006651
32,2.80554,0.006956
31.5,2.901061,0.00661
31,3.051443,0.00661
30.5,3.196661,0.006949
30,3.395449,0.006852
29.8,3.484516,0.006845
29.6,3.6065,0.006599
29.4,3.704603,0.006644
29.2,3.859502,0.006399
29,4.003429,0.006795
28.8,4.19899,0.006633
28.6,4.458447,0.00633
28.4,4.672079,0.006766
28.2,4.890874,0.007154
